-29.400000 53.442035  -29.400000 52.402688  -29.400000 52.314623  -29.400000 52.312239 
-29.300000 53.158311  -29.300000 52.356606  -29.300000 52.111881  -29.300000 52.432616 
-29.200000 52.399533  -29.200000 52.782218  -29.200000 52.410952  -29.200000 52.563947 
-29.100000 52.564990  -29.100000 52.652909  -29.100000 52.678587  -29.100000 52.607582 
-29.000000 52.422851  -29.000000 52.946218  -29.000000 52.549655  -29.000000 52.664266 
-28.900000 52.859386  -28.900000 52.400528  -28.900000 52.918406  -28.900000 52.850071 
-28.800000 52.403017  -28.800000 53.103363  -28.800000 52.880779  -28.800000 52.932188 
-28.700000 53.516447  -28.700000 52.868101  -28.700000 53.059353  -28.700000 52.913632 
-28.600000 53.962743  -28.600000 52.823288  -28.600000 53.273210  -28.600000 53.118782 
-28.500000 53.185657  -28.500000 53.124146  -28.500000 52.984664  -28.500000 53.265141 
-28.400000 52.875932  -28.400000 53.229672  -28.400000 53.169054  -28.400000 53.280621 
-28.300000 53.576498  -28.300000 53.706147  -28.300000 53.190596  -28.300000 53.376436 
-28.200000 53.223913  -28.200000 52.970266  -28.200000 53.273696  -28.200000 53.595598 
-28.100000 52.355079  -28.100000 53.178152  -28.100000 53.548516  -28.100000 53.618666 
-28.000000 53.038112  -28.000000 53.957293  -28.000000 53.506212  -28.000000 53.876506 
-27.900000 53.329677  -27.900000 53.412805  -27.900000 53.771323  -27.900000 53.846262 
-27.800000 54.857076  -27.800000 53.834646  -27.800000 54.032686  -27.800000 53.925000 
-27.700000 53.377412  -27.700000 53.897617  -27.700000 54.178281  -27.700000 53.949724 
-27.600000 55.000258  -27.600000 53.913594  -27.600000 53.931722  -27.600000 54.159426 
-27.500000 53.539123  -27.500000 54.130254  -27.500000 54.103408  -27.500000 54.101613 
-27.400000 54.122732  -27.400000 53.741638  -27.400000 54.139551  -27.400000 54.342015 
-27.300000 55.295860  -27.300000 54.114716  -27.300000 54.449679  -27.300000 54.429978 
-27.200000 54.279314  -27.200000 54.753670  -27.200000 54.572529  -27.200000 54.581513 
-27.100000 54.961657  -27.100000 54.897017  -27.100000 54.505675  -27.100000 54.534654 
