-23.100000 21.197757  -23.100000 60.946384  -23.100000 60.378557  -23.100000 60.573980 
-23.000000 20.505460  -23.000000 61.624056  -23.000000 60.296349  -23.000000 60.648377 
-22.900000 19.871306  -22.900000 62.091653  -22.900000 62.188526  -22.900000 60.591827 
-22.800000 19.286901  -22.800000 61.266926  -22.800000 59.690949  -22.800000 60.765591 
-22.700000 18.745418  -22.700000 59.446447  -22.700000 62.505042  -22.700000 60.994642 
-22.600000 18.241385  -22.600000 60.667453  -22.600000 62.199522  -22.600000 60.817996 
-22.500000 17.770270  -22.500000 61.437916  -22.500000 62.867261  -22.500000 61.166934 
-22.400000 17.328409  -22.400000 61.063690  -22.400000 63.109876  -22.400000 61.324822 
-22.300000 16.912615  -22.300000 59.672533  -22.300000 62.262725  -22.300000 61.487014 
-22.200000 16.520272  -22.200000 61.469277  -22.200000 63.074666  -22.200000 61.714342 
-22.100000 16.149073  -22.100000 62.155709  -22.100000 60.379727  -22.100000 61.258984 
-22.000000 15.797102  -22.000000 62.051297  -22.000000 63.117527  -22.000000 61.020845 
-21.900000 15.462642  -21.900000 60.859007  -21.900000 61.090146  -21.900000 61.871568 
-21.800000 15.144177  -21.800000 62.709798  -21.800000 60.927683  -21.800000 61.828729 
-21.700000 14.840453  -21.700000 63.767347  -21.700000 60.116364  -21.700000 62.133389 
-21.600000 14.550291  -21.600000 63.383644  -21.600000 61.562802  -21.600000 61.990534 
-21.500000 14.272654  -21.500000 62.243432  -21.500000 61.633429  -21.500000 62.241728 
-21.400000 14.006660  -21.400000 63.959502  -21.400000 61.138494  -21.400000 61.428606 
-21.300000 13.751480  -21.300000 60.855526  -21.300000 62.830976  -21.300000 62.011166 
-21.200000 13.506393  -21.200000 64.355187  -21.200000 62.017729  -21.200000 62.305217 
-21.100000 13.270711  -21.100000 63.091611  -21.100000 60.578803  -21.100000 61.586750 
-21.000000 13.043853  -21.000000 64.537023  -21.000000 62.614063  -21.000000 61.460541 
-20.900000 12.825263  -20.900000 60.312161  -20.900000 62.725445  -20.900000 62.584881 
-20.800000 12.614455  -20.800000 63.038268  -20.800000 64.511243  -20.800000 62.640730 
-20.700000 12.410649  -20.700000 62.463992  -20.700000 60.409004  -20.700000 63.018800 
-20.600000 12.210295  -20.600000 63.664647  -20.600000 63.393181  -20.600000 61.863544 
-20.500000 12.012750  -20.500000 61.997125  -20.500000 62.050234  -20.500000 62.834321 
-20.400000 11.818279  -20.400000 62.362414  -20.400000 62.921480  -20.400000 62.737533 
-20.300000 11.627095  -20.300000 63.190469  -20.300000 65.030695  -20.300000 61.390149 
-20.200000 11.439344  -20.200000 62.524025  -20.200000 61.074215  -20.200000 62.573208 
-20.100000 11.255136  -20.100000 62.736436  -20.100000 61.656851  -20.100000 61.061680 
-20.000000 11.074538  -20.000000 61.023512  -20.000000 61.920659  -20.000000 60.983810 
-19.900000 10.897603  -19.900000 60.757910  -19.900000 62.060461  -19.900000 61.664325 
-19.800000 10.724328  -19.800000 60.555064  -19.800000 60.894664  -19.800000 61.774732 
-19.700000 10.554724  -19.700000 62.166117  -19.700000 62.199538  -19.700000 60.435621 
-19.600000 10.388753  -19.600000 62.243537  -19.600000 62.266080  -19.600000 60.609783 
-19.500000 10.226394  -19.500000 62.142050  -19.500000 60.231900  -19.500000 60.851010 
-19.400000 10.067597  -19.400000 60.359354  -19.400000 60.361406  -19.400000 61.090115 
-19.300000 9.912307  -19.300000 60.985958  -19.300000 61.385733  -19.300000 60.777565 
-19.200000 9.760460  -19.200000 61.203022  -19.200000 61.435848  -19.200000 61.808683 
-19.100000 9.611992  -19.100000 59.970424  -19.100000 60.553219  -19.100000 61.311740 
-19.000000 9.466832  -19.000000 60.828563  -19.000000 60.833595  -19.000000 61.222729 
-18.900000 9.324906  -18.900000 60.630899  -18.900000 61.985427  -18.900000 61.651766 
-18.800000 9.186131  -18.800000 62.641743  -18.800000 61.761646  -18.800000 61.906466 
-18.700000 9.050452  -18.700000 62.435055  -18.700000 61.357782  -18.700000 61.101367 
-18.600000 8.917740  -18.600000 62.218514  -18.600000 62.166842  -18.600000 61.461047 
-18.500000 8.788010  -18.500000 61.134882  -18.500000 61.739441  -18.500000 61.711110 
-18.400000 8.661135  -18.400000 61.311828  -18.400000 61.672412  -18.400000 61.808872 
-18.300000 8.537039  -18.300000 60.925682  -18.300000 61.979817  -18.300000 61.966567 
-18.200000 8.415659  -18.200000 61.928822  -18.200000 61.683029  -18.200000 61.938224 
-18.100000 8.296911  -18.100000 62.028814  -18.100000 61.810313  -18.100000 61.858588 
-18.000000 8.180730  -18.000000 60.985331  -18.000000 62.285323  -18.000000 62.212160 
-17.900000 8.067049  -17.900000 61.806021  -17.900000 61.846016  -17.900000 61.914858 
-17.800000 7.955798  -17.800000 61.530805  -17.800000 61.789352  -17.800000 62.185488 
-17.700000 7.846908  -17.700000 62.692249  -17.700000 61.966100  -17.700000 62.013943 
-17.600000 7.740318  -17.600000 62.918750  -17.600000 61.437772  -17.600000 62.158589 
-17.500000 7.635964  -17.500000 61.769319  -17.500000 62.273070  -17.500000 62.454109 
-17.400000 7.533786  -17.400000 62.759760  -17.400000 62.455343  -17.400000 62.499361 
-17.300000 7.433727  -17.300000 62.629926  -17.300000 61.760907  -17.300000 62.536358 
-17.200000 7.335726  -17.200000 62.983933  -17.200000 62.390350  -17.200000 62.369107 
-17.100000 7.239730  -17.100000 63.318635  -17.100000 62.314525  -17.100000 62.411110 
-17.000000 7.145685  -17.000000 62.236773  -17.000000 62.411209  -17.000000 63.043029 
-16.900000 7.053539  -16.900000 62.533464  -16.900000 62.597205  -16.900000 63.125368 
-16.800000 6.963241  -16.800000 64.114669  -16.800000 63.256287  -16.800000 63.014653 
